codigo;descricao;unidade_medida;custo;descricao_nbr;codigo_nbr
39143;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2 1/2""";UN;"3,89";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39142;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 2""";UN;"2,78";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39138;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/4""";UN;"1,04";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39136;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3/8""";UN;"0,69";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39144;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 3""";UN;"4,53";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
39145;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO U SIMPLES, COM 4""";UN;"7,46";"Aços carbono
Espessura
Fixação
";"0M 20 20 01 01 00 00
0P 50 30 08 00 00 00
1S 70 35 06 00 00 00
"
12615;"ABRACADEIRA PVC, PARA CALHA PLUVIAL, DIAMETRO ENTRE *80 E 100* MM, PARA DRENAGEM PLUVIAL PREDIAL";UN;"12,59";"Cloreto de polivinil (PVC)
Diâmetro externo
Fixação
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
1S 70 35 06 00 00 00
"
11927;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 2"" A 2 1/2""";UN;"10,03";"Ferro
Zinco
Diâmetro externo
Fixação
";"0M 10 10 29 00 00 00
0M 10 10 37 00 00 00
0P 50 40 07 00 00 00
1S 70 35 06 00 00 00
"
11928;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 3"" A 3 3/4""";UN;"11,49";"Ferro
Zinco
Diâmetro externo
Fixação
";"0M 10 10 29 00 00 00
0M 10 10 37 00 00 00
0P 50 40 07 00 00 00
1S 70 35 06 00 00 00
"
11929;"ABRACADEIRA, GALVANIZADA/ZINCADA, ROSCA SEM FIM, PARAFUSO INOX, LARGURA  FITA *12,6 A *14 MM, D = 4"" A 4 3/4""";UN;"17,77";"Ferro
Zinco
Diâmetro externo
Fixação
";"0M 10 10 29 00 00 00
0M 10 10 37 00 00 00
0P 50 40 07 00 00 00
1S 70 35 06 00 00 00
"
36801;"ACABAMENTO DE METAL CROMADO PARA REGISTRO PEQUENO, DE PAREDE, 1/2 "" OU 3/4 """;UN;"30,17";"Compostos metálicos
Crômio
Acabamento  aplicado
Diâmetro externo
";"0M 20 20 00 00 00 00
0M 10 10 25 00 00 00
0P 40 20 24 01 00 00
0P 50 40 07 00 00 00
"
36246;"ACABAMENTO SIMPLES/CONVENCIONAL PARA FORRO PVC, TIPO ""U"" OU ""C"", COR BRANCA, COMPRIMENTO 6 M";M     ;"4,82";"Cloreto de polivinil (PVC)
Acabamento  de teto
Comprimento
";"0M 20 60 07 16 00 00
0P 40 20 24 08 00 00
0P 50 30 02 00 00 00
"
37600;"ACESSORIO DE LIGACAO NAO ELETRICO PARA CARGAS EXPLOSIVAS, TUBO DE 6 M";UN;"112,99";"Comprimento
Equipamentos para detonação
";"0P 50 30 02 00 00 00
2Q 58 06 02 26 00 00
"
37599;"ACESSORIO INICIADOR NAO ELETRICO, TUBO DE 6 M, TEMPO DE RETARDO DE *160* MS";UN;"105,16";"Comprimento
Equipamentos para detonação
";"0P 50 30 02 00 00 00
2Q 58 06 02 26 00 00
"
1;ACETILENO (RECARGA DE GAS ACETILENO PARA CILINDRO DE CONJUNTO OXICORTE GRANDE) NAO INCLUI TROCA/MANUTENCAO DO CILINDRO;KG    ;"76,5";"Gases de hidrocarbonetos
";"0M 40 20 00 00 00 00
"
3;"ACIDO CLORIDRICO / ACIDO MURIATICO, DILUICAO 10% A 12% PARA USO EM LIMPEZA";L     ;"18,22";"Ácidos
";"0M 20 60 01 00 00 00
"
43054;"ACO CA-25, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, OU 25,0 MM, VERGALHAO";KG    ;"10,47";"Aços carbono
Bitola
Armadura de aço
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 00 00 00
"
42402;"ACO CA-25, 16,0 MM, BARRA DE TRANSFERENCIA";KG    ;10;"Aços carbono
Bitola
Aço CA-25 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 02 00 00
"
42403;"ACO CA-25, 20,0 MM, BARRA DE TRANSFERENCIA";KG    ;"12,83";"Aços carbono
Bitola
Aço CA-25 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 02 00 00
"
42404;"ACO CA-25, 25,0 MM, BARRA DE TRANSFERENCIA";KG    ;"12,76";"Aços carbono
Bitola
Aço CA-25 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 02 00 00
"
42405;"ACO CA-25, 32,0 MM, BARRA DE TRANSFERENCIA";KG    ;"13,59";"Aços carbono
Bitola
Aço CA-25 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 02 00 00
"
34341;"ACO CA-25, 32,0 MM, VERGALHAO";KG    ;"11,8";"Aços carbono
Bitola
Aço CA-25 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 02 00 00
"
43053;"ACO CA-25, 6,3 MM OU 8,0 MM, VERGALHAO";KG    ;"9,35";"Aços carbono
Bitola
Aço CA-25 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 02 00 00
"
43058;"ACO CA-50, 10,0 MM, OU 12,5 MM, OU 16,0 MM, OU 20,0 MM, DOBRADO E CORTADO";KG    ;"9,7";"Aços carbono
Bitola
Armadura de aço
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 00 00 00
"
34;"ACO CA-50, 10,0 MM, VERGALHAO";KG    ;"9,74";"Aços carbono
Bitola
Aço CA-50 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 06 00 00
"
43055;"ACO CA-50, 12,5 MM OU 16,0 MM, VERGALHAO";KG    ;"8,44";"Aços carbono
Bitola
Aço CA-50 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 06 00 00
"
43056;"ACO CA-50, 20,0 MM OU 25,0 MM, VERGALHAO";KG    ;"9,73";"Aços carbono
Bitola
Aço CA-50 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 06 00 00
"
43057;"ACO CA-50, 32,0 MM, VERGALHAO";KG    ;"10,69";"Aços carbono
Bitola
Aço CA-50 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 06 00 00
"
34449;"ACO CA-50, 6,3 MM, DOBRADO E CORTADO";KG    ;"11,43";"Aços carbono
Bitola
Armadura de aço
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 00 00 00
"
32;"ACO CA-50, 6,3 MM, VERGALHAO";KG    ;"10,28";"Aços carbono
Bitola
Aço CA-50 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 06 00 00
"
33;"ACO CA-50, 8,0 MM, VERGALHAO";KG    ;"10,34";"Aços carbono
Bitola
Aço CA-50 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 06 00 00
"
43061;"ACO CA-60, 4,2 MM OU 5,0 MM, DOBRADO E CORTADO";KG    ;"9,66";"Aços carbono
Bitola
Armadura de aço
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 00 00 00
"
43059;"ACO CA-60, 4,2 MM, OU 5,0 MM, OU 6,0 MM, OU 7,0 MM, VERGALHAO";KG    ;"9,22";"Aços carbono
Bitola
Aço CA-60 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 10 00 00
"
43062;"ACO CA-60, 6,0 MM OU 7,0 MM, DOBRADO E CORTADO";KG    ;"10,22";"Aços carbono
Bitola
Armadura de aço
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 00 00 00
"
43060;"ACO CA-60, 8,0 MM OU 9,5 MM, VERGALHAO";KG    ;"8,03";"Aços carbono
Bitola
Aço CA-60 em barra
";"0M 20 20 01 01 00 00
0P 50 30 09 00 00 00
2C 04 26 02 10 00 00
"
40410;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 50 MM (2"")";UN;"26,72";"Ferro fundido
Diâmetro externo
Acoplamento rígido para tubo
";"0M 20 20 01 07 01 00
0P 50 40 07 00 00 00
2C 14 68 02 00 00 00
"
40411;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 65 MM (2 1/2"")";UN;29;"Ferro fundido
Diâmetro externo
Acoplamento rígido para tubo
";"0M 20 20 01 07 01 00
0P 50 40 07 00 00 00
2C 14 68 02 00 00 00
"
40412;"ACOPLAMENTO RIGIDO EM FERRO FUNDIDO PARA SISTEMA DE TUBULACAO RANHURADA, DN 80 MM (3"")";UN;"32,54";"Ferro fundido
Diâmetro externo
Acoplamento rígido para tubo
";"0M 20 20 01 07 01 00
0P 50 40 07 00 00 00
2C 14 68 02 00 00 00
"
44254;"ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 15 MM, CAIXA D'AGUA PARA AGUA QUENTE";UN;"28,61";"PoIicloreto de vinila clorado (CPVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo do tipo rosca
";"0M 20 60 07 18 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 34 00 00 00
"
44255;"ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 22 MM, CAIXA D'AGUA PARA AGUA QUENTE";UN;"31,71";"PoIicloreto de vinila clorado (CPVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo do tipo rosca
";"0M 20 60 07 18 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 34 00 00 00
"
44256;"ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 28 MM, CAIXA D'AGUA PARA AGUA QUENTE";UN;"35,82";"PoIicloreto de vinila clorado (CPVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo do tipo rosca
";"0M 20 60 07 18 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 34 00 00 00
"
44257;"ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 35 MM, CAIXA D'AGUA PARA AGUA QUENTE";UN;"56,67";"PoIicloreto de vinila clorado (CPVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo do tipo rosca
";"0M 20 60 07 18 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 34 00 00 00
"
44258;"ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 42 MM, CAIXA D'AGUA PARA AGUA QUENTE";UN;"64,76";"PoIicloreto de vinila clorado (CPVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo do tipo rosca
";"0M 20 60 07 18 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 34 00 00 00
"
44259;"ADAPTADOR CPVC, ROSCAVEL, COM FLANGES E ANEL DE VEDACAO, 54 MM, CAIXA D'AGUA PARA AGUA QUENTE";UN;"88,9";"PoIicloreto de vinila clorado (CPVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo do tipo rosca
";"0M 20 60 07 18 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 34 00 00 00
"
55;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;"4,61";"PoIipropiIeno copolimero random (PP-R)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 13 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
61;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;"4,36";"PoIipropiIeno copolimero random (PP-R)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 13 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
62;"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM X 1"", PARA LIGACAO PREDIAL DE AGUA (NTS 179)";UN;"9,03";"PoIipropiIeno copolimero random (PP-R)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 13 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
103;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 110 MM X 4"", PARA AGUA FRIA";UN;"49,99";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
107;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 20 MM X 1/2"", PARA AGUA FRIA";UN;"0,94";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
65;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 25 MM X 3/4"", PARA AGUA FRIA";UN;"1,03";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
108;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 32 MM X 1"", PARA AGUA FRIA";UN;"2,07";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
110;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/2"", PARA AGUA FRIA";UN;"7,19";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
109;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 40 MM X 1 1/4"", PARA AGUA FRIA";UN;"4,28";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
111;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X 1 1/4"", PARA AGUA FRIA";UN;"9,73";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
112;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 50 MM X1 1/2"", PARA AGUA FRIA";UN;"5,16";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
113;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 60 MM X 2"", PARA AGUA FRIA";UN;"12,91";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
104;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 75 MM X 2 1/2"", PARA AGUA FRIA";UN;"22,47";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
102;"ADAPTADOR PVC SOLDAVEL CURTO COM BOLSA E ROSCA, 85 MM X 3"", PARA AGUA FRIA";UN;"30,98";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
"
95;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 20 MM X 1/2"", PARA CAIXA D'AGUA";UN;"13,09";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo de solda
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 26 00 00 00
"
96;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 25 MM X 3/4"", PARA CAIXA D'AGUA";UN;"14,24";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo de solda
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 26 00 00 00
"
97;"ADAPTADOR PVC SOLDAVEL, COM FLANGE E ANEL DE VEDACAO, 32 MM X 1"", PARA CAIXA D'AGUA";UN;"21,42";"Cloreto de polivinil (PVC)
Diâmetro externo
Adaptadores para tubulações
Flange de tubo de solda
";"0M 20 60 07 16 00 00
0P 50 40 07 00 00 00
2C 14 66 00 00 00 00
2C 14 64 26 00 00 00
"
